Date,Mag7_Beta_Contribution,Other_Beta_Contribution,Total_Market_Beta
2018-07-03,0.8588327002356559,0.14607461491754653,1.0049073151532024
2018-07-05,0.8585494997653812,0.14641838592092488,1.004967885686306
2018-07-06,0.8602110281241038,0.14516375242559693,1.0053747805497006
2018-07-09,0.8587491120861828,0.14630441546412315,1.0050535275503059
2018-07-10,0.8584382270349268,0.14662666785876202,1.0050648948936889
2018-07-11,0.85833551074432,0.14691281090863367,1.0052483216529537
2018-07-12,0.8605814983278977,0.14510338225207908,1.0056848805799767
2018-07-13,0.8629849147326706,0.1434022644100891,1.0063871791427597
2018-07-16,0.8613733222313689,0.14452959059343592,1.0059029128248047
2018-07-17,0.8602819100611097,0.14547067777979378,1.0057525878409035
2018-07-18,0.8597281395016376,0.1461416589213534,1.005869798422991
2018-07-19,0.8598325253337619,0.14595910151263786,1.0057916268463998
2018-07-20,0.8596070137764259,0.14638995630361606,1.005996970080042
2018-07-23,0.8585710712510877,0.1468629000672525,1.0054339713183402
2018-07-24,0.8571754634973606,0.14759326818261975,1.0047687316799805
2018-07-25,0.8594622429485658,0.14633999486595342,1.0058022378145193
2018-07-26,0.8571906052533846,0.14599853903439827,1.003189144287783
2018-07-27,0.8552965161071837,0.1469201766596951,1.0022166927668787
2018-07-30,0.853433092751459,0.14711601113553197,1.000549103886991
2018-07-31,0.8552244911481559,0.14592922005726908,1.001153711205425
2018-08-01,0.8546470899086397,0.1448147939353105,0.9994618838439502
2018-08-02,0.859263925276798,0.14112408420759248,1.0003880094843904
2018-08-03,0.8605397924217325,0.14012549571622873,1.0006652881379612
2018-08-06,0.8715743665803783,0.1321216546336113,1.0036960212139896
2018-08-07,0.8728992425449837,0.13108460781490897,1.0039838503598928
2018-08-08,0.8721927909350922,0.13201049646722646,1.0042032874023186
2018-08-09,0.8789360736351184,0.12549595482648968,1.0044320284616082
2018-08-10,0.8814357723264329,0.12395746236895624,1.005393234695389
2018-08-13,0.8816386201022928,0.12310796315969563,1.0047465832619884
2018-08-14,0.8828266639105554,0.12248295542921493,1.0053096193397704
2018-08-15,0.8809670020335229,0.12264005864604895,1.0036070606795717
2018-08-16,0.8773895615372335,0.12364996157834379,1.0010395231155773
2018-08-17,0.8735487674969196,0.12457195909536178,0.9981207265922813
2018-08-20,0.8724327714290981,0.12510479067285996,0.9975375621019581
2018-08-21,0.8737593597488165,0.12480334971867095,0.9985627094674874
2018-08-22,0.8761540731032994,0.123823503870353,0.9999775769736524
2018-08-23,0.8775170828336659,0.12250954618026658,1.0000266290139326
2018-08-24,0.8778557558266455,0.12235730801936037,1.0002130638460058
2018-08-27,0.879198855946488,0.12209039827867915,1.001289254225167
2018-08-28,0.880331085290903,0.12097857875656631,1.0013096640474692
2018-08-29,0.8853083031855783,0.117084279185762,1.0023925823713402
2018-08-30,0.8859231058884527,0.11652681665900341,1.0024499225474561
2018-08-31,0.8865958960085953,0.11565801280027882,1.0022539088088742
2018-09-04,0.8858570716727401,0.11595273234326398,1.0018098040160042
2018-09-05,0.8836769229992539,0.11572170485639713,0.999398627855651
2018-09-06,0.8818130838439538,0.11582957113385815,0.997642654977812
2018-09-07,0.8830482223453683,0.11418917483424326,0.9972373971796116
2018-09-10,0.8838140722605401,0.11461549487125677,0.9984295671317969
2018-09-11,0.884240953201271,0.11425554203268656,0.9984964952339577
2018-09-12,0.8840480022178473,0.11411594288237939,0.9981639451002267
2018-09-13,0.883400645160827,0.11383354612950644,0.9972341912903334
2018-09-14,0.8836035727467749,0.1141937802897996,0.9977973530365745
2018-09-17,0.8841049511644152,0.113600478911655,0.9977054300760703
